timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
21:26.2,bleT2,-,-,-,0,5,bleA5,-58,bleA2,-56,bleA4,-77,bleA3,-58,bleA6,-81,A,49.044,-963.739,157.38,G,10640,-1050,4410,M,-690,34.5,-235.5
21:26.4,bleT2,-,-,-,0,4,bleA2,-66,bleA6,-70,bleA5,-59,bleA4,-66,A,57.401,-1109.041,39.589,G,3500,7210,-16590,M,-690,31.5,-238.5,,
21:26.5,bleT2,-,-,-,0,5,bleA6,-70,bleA2,-72,bleA3,-59,bleA5,-65,bleA4,-75,A,-53.009,-1045.357,279.502,G,24710,-6930,14560,M,-684,31.5,-261
21:26.6,bleT2,-,-,-,0,4,bleA2,-79,bleA4,-82,bleA5,-62,bleA6,-72,A,103.944,-1071.465,135.481,G,12810,2800,-28840,M,-694.5,42,-256.5,,
21:26.7,bleT2,-,-,-,0,3,bleA2,-62,bleA4,-73,bleA3,-54,A,-123.22,-932.873,118.889,G,4200,-16450,-14490,M,-691.5,52.5,-261,,,,
21:26.8,bleT2,-,-,-,0,5,bleA4,-68,bleA5,-83,bleA6,-66,bleA2,-60,bleA3,-55,A,-54.351,-995.032,138.104,G,-14070,-8050,-5250,M,-700.5,64.5,-259.5
21:26.9,bleT2,-,-,-,0,5,bleA2,-54,bleA4,-77,bleA3,-54,bleA5,-69,bleA6,-65,A,93.818,-878.156,190.808,G,10920,-11690,2730,M,-702,79.5,-262.5
21:27.0,bleT2,-,-,-,0,4,bleA6,-73,bleA2,-63,bleA4,-65,bleA3,-56,A,73.322,-1041.819,15.372,G,-30240,-7630,-770,M,-699,61.5,-253.5,,
21:27.1,bleT2,-,-,-,0,5,bleA2,-60,bleA4,-68,bleA3,-62,bleA5,-69,bleA6,-68,A,93.33,-955.87,105.286,G,-7210,-11900,-7140,M,-703.5,61.5,-256.5
21:27.2,bleT2,-,-,-,0,4,bleA6,-74,bleA2,-54,bleA3,-58,bleA5,-66,A,146.583,-1060.119,110.593,G,-6370,7910,-15750,M,-702,76.5,-249,,
21:27.3,bleT2,-,-,-,0,5,bleA5,-62,bleA4,-73,bleA3,-64,bleA2,-65,bleA6,-72,A,138.836,-1068.415,127.185,G,32690,18270,-14140,M,-705,76.5,-262.5
21:27.4,bleT2,-,-,-,0,4,bleA6,-80,bleA2,-57,bleA4,-71,bleA5,-64,A,-12.749,-978.501,75.701,G,-12180,3080,12390,M,-705,76.5,-259.5,,
