timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
25:57.8,bleT2,-,-,-,0,4,bleA4,-56,bleA3,-70,bleA2,-66,bleA5,-57,,,A,1037.244,-76.677,-459.33,G,-39200,9450,10430,M,-297,582,-160.5,
25:57.9,bleT2,-,-,-,0,5,bleA5,-60,bleA3,-75,bleA2,-67,bleA4,-56,bleA6,-73,A,933.849,79.056,-373.93,G,-22470,57400,46410,M,-325.5,585,-184.5,
25:58.0,bleT2,-,-,-,0,5,bleA3,-67,bleA2,-66,bleA5,-61,bleA6,-69,bleA4,-63,A,796.294,-201.605,-607.133,G,-29190,-49980,11340,M,-349.5,580.5,-169.5,
25:58.1,bleT2,-,-,-,0,4,bleA3,-67,bleA2,-66,bleA4,-59,bleA6,-69,,,A,830.576,-204.533,-198.128,G,6370,5740,-8260,M,-340.5,589.5,-172.5,
25:58.2,bleT2,-,-,-,0,4,bleA4,-65,bleA6,-71,bleA2,-73,bleA5,-60,,,A,856.989,-216.062,-193.797,G,22750,-15610,-10570,M,-349.5,583.5,-159,
25:58.3,bleT2,-,-,-,0,5,bleA3,-70,bleA2,-70,bleA4,-71,bleA5,-65,bleA6,-68,A,947.879,-206.119,-203.374,G,45150,-25200,-17920,M,-330,585,-141,
25:58.4,bleT2,-,-,-,0,5,bleA3,-65,bleA2,-76,bleA4,-56,bleA5,-62,bleA6,-65,A,1004.914,-320.677,-174.765,G,43610,7140,-1820,M,-304.5,583.5,-133.5,
25:58.5,bleT2,-,-,-,0,5,bleA3,-71,bleA2,-66,bleA4,-60,bleA6,-69,bleA5,-57,A,1128.012,-130.845,-458.049,G,51520,-31920,-6930,M,-322.5,586.5,-111,
25:58.6,bleT2,-,-,-,0,5,bleA3,-72,bleA4,-58,bleA6,-88,bleA5,-60,bleA2,-68,A,854.793,-71.248,-505.568,G,45290,-5530,-16170,M,-301.5,588,-88.5,
25:58.7,bleT2,-,-,-,0,2,bleA4,-54,bleA6,-70,,,,,,,A,839.726,-203.435,-325.801,G,34860,12810,-20370,M,-280.5,583.5,-93,
25:58.8,bleT2,-,-,-,0,5,bleA3,-73,bleA4,-52,bleA5,-58,bleA6,-66,bleA2,-66,A,777.689,-102.175,-180.804,G,4690,-8050,-6510,M,-265.5,591,-88.5,
25:58.9,bleT2,-,-,-,0,5,bleA5,-51,bleA3,-78,bleA2,-63,bleA4,-55,bleA6,-75,A,900.909,-263.215,-292.556,G,-22750,-28560,-6020,M,-268.5,606,-82.5,
25:59.0,bleT2,-,-,-,0,4,bleA4,-54,bleA6,-61,bleA3,-72,bleA2,-66,,,A,917.379,-162.016,-275.598,G,-32060,-1400,-3360,M,-273,586.5,-67.5,
25:59.1,bleT2,-,-,-,0,5,bleA5,-64,bleA3,-72,bleA2,-74,bleA4,-57,bleA6,-69,A,957.395,-153.598,-174.826,G,-26950,48930,6720,M,-259.5,586.5,-84,
25:59.2,bleT2,-,-,-,0,3,bleA3,-83,bleA4,-52,bleA6,-70,,,,,A,1115.385,-331.413,-109.495,G,-36540,5600,1610,M,-268.5,576,-120,
25:59.2,bleT2,-,-,-,0,2,bleA5,-62,bleA2,-67,,,,,,,A,1053.226,-36.051,-572.729,G,-40740,-10290,23870,M,-286.5,594,-121.5,
25:59.3,bleT2,-,-,-,0,5,bleA3,-69,bleA2,-70,bleA4,-55,bleA5,-54,bleA6,-65,A,879.803,-20.069,-266.143,G,-21980,88270,27650,M,-298.5,580.5,-163.5,
25:59.4,bleT2,-,-,-,0,4,bleA4,-56,bleA6,-64,bleA3,-66,bleA2,-76,,,A,699.06,-236.985,-372.466,G,-24290,3780,-2310,M,-310.5,594,-159,
25:59.6,bleT2,-,-,-,0,5,bleA5,-56,bleA3,-65,bleA2,-63,bleA4,-54,bleA6,-70,A,845.582,-157.502,-188.246,G,6160,700,-4550,M,-312,591,-154.5,
25:59.7,bleT2,-,-,-,0,5,bleA5,-66,bleA4,-55,bleA6,-55,bleA3,-74,bleA2,-78,A,905.972,-149.877,-198.677,G,25900,-15680,-18690,M,-307.5,592.5,-138,
25:59.8,bleT2,-,-,-,0,5,bleA5,-52,bleA3,-72,bleA2,-68,bleA4,-52,bleA6,-59,A,983.076,-186.294,-289.933,G,44450,-26460,-25410,M,-282,586.5,-114,
25:59.9,bleT2,-,-,-,0,5,bleA4,-55,bleA5,-59,bleA6,-62,bleA3,-66,bleA2,-69,A,1074.881,-227.042,-292.19,G,43540,-22120,-140,M,-258,589.5,-100.5,
26:00.0,bleT2,-,-,-,0,5,bleA2,-65,bleA4,-60,bleA3,-69,bleA5,-58,bleA6,-78,A,1031.083,-142.984,-438.224,G,60690,-43680,1400,M,-268.5,583.5,-75,
26:00.1,bleT2,-,-,-,0,5,bleA6,-74,bleA4,-55,bleA5,-66,bleA2,-70,bleA3,-67,A,756.095,2.745,-374.296,G,48580,26250,-13790,M,-279,586.5,-55.5,
26:00.2,bleT2,-,-,-,0,5,bleA2,-63,bleA4,-66,bleA5,-65,bleA6,-68,bleA3,-75,A,845.399,-150.182,-243.634,G,24920,-2030,-17430,M,-259.5,582,-51,
26:00.4,bleT2,-,-,-,0,5,bleA3,-78,bleA2,-66,bleA4,-68,bleA6,-72,bleA5,-50,A,880.474,-148.23,-301.462,G,-26390,-8260,4200,M,-238.5,571.5,-37.5,
26:00.5,bleT2,-,-,-,0,5,bleA3,-85,bleA4,-56,bleA5,-59,bleA6,-65,bleA2,-67,A,917.501,-164.578,-254.736,G,-48300,9800,11060,M,-243,589.5,-48,
26:00.6,bleT2,-,-,-,0,5,bleA5,-49,bleA3,-73,bleA2,-70,bleA4,-72,bleA6,-64,A,955.504,-170.861,-368.623,G,-48860,25970,17290,M,-255,597,-66,
26:00.7,bleT2,-,-,-,0,5,bleA4,-52,bleA6,-69,bleA5,-66,bleA3,-85,bleA2,-75,A,1104.466,-187.819,-398.696,G,-54460,3010,16660,M,-273,592.5,-100.5,
26:00.8,bleT2,-,-,-,0,5,bleA2,-73,bleA4,-58,bleA6,-68,bleA5,-56,bleA3,-79,A,901.763,9.821,-444.202,G,-44800,23660,33110,M,-306,591,-103.5,
26:00.9,bleT2,-,-,-,0,5,bleA3,-75,bleA4,-50,bleA6,-69,bleA5,-61,bleA2,-79,A,761.951,-113.46,-203.74,G,-48090,-17570,31780,M,-313.5,612,-141,
26:01.0,bleT2,-,-,-,0,5,bleA5,-55,bleA3,-72,bleA2,-73,bleA4,-54,bleA6,-64,A,819.962,-128.405,-292.983,G,-12810,-8750,-8820,M,-333,601.5,-138,
26:01.1,bleT2,-,-,-,0,5,bleA3,-73,bleA2,-76,bleA4,-47,bleA5,-65,bleA6,-57,A,906.338,-123.098,-418.338,G,23870,-19880,-6860,M,-334.5,601.5,-126,
26:01.2,bleT2,-,-,-,0,5,bleA5,-53,bleA6,-59,bleA3,-66,bleA2,-70,bleA4,-50,A,945.866,-150.548,-369.477,G,56000,-280,-16310,M,-318,606,-123,
26:01.3,bleT2,-,-,-,0,5,bleA4,-49,bleA6,-62,bleA3,-72,bleA2,-74,bleA5,-57,A,910.303,-176.9,-296.155,G,39410,11340,-5670,M,-292.5,600,-109.5,
26:01.4,bleT2,-,-,-,0,5,bleA2,-70,bleA5,-54,bleA4,-58,bleA6,-61,bleA3,-74,A,884.744,-164.212,-287.188,G,36610,15190,1680,M,-322.5,601.5,-100.5,
26:01.5,bleT2,-,-,-,0,5,bleA3,-76,bleA2,-72,bleA4,-52,bleA6,-60,bleA5,-59,A,913.414,-138.897,-187.148,G,20160,-3640,-12460,M,-304.5,603,-115.5,
26:01.7,bleT2,-,-,-,0,2,bleA4,-55,bleA6,-64,,,,,,,A,920.002,-186.477,-205.692,G,-210,490,-6930,M,-289.5,594,-118.5,
26:01.8,bleT2,-,-,-,0,5,bleA4,-56,bleA6,-60,bleA3,-78,bleA2,-71,bleA5,-60,A,955.687,-204.716,-270.596,G,-6020,-16800,-5180,M,-282,597,-111,
26:01.9,bleT2,-,-,-,0,2,bleA5,-54,bleA2,-70,,,,,,,A,938.058,-162.016,-289.933,G,-1750,6230,-2310,M,-273,591,-97.5,
26:01.9,bleT2,-,-,-,0,3,bleA3,-69,bleA4,-54,bleA6,-64,,,,,A,920.063,-170.861,-220.881,G,-3290,2310,840,M,-279,601.5,-114,
26:02.0,bleT2,-,-,-,0,5,bleA4,-58,bleA5,-60,bleA6,-61,bleA3,-77,bleA2,-72,A,925.004,-164.212,-253.272,G,-6020,-3640,-1890,M,-280.5,606,-109.5,
26:02.1,bleT2,-,-,-,0,5,bleA3,-70,bleA2,-73,bleA4,-53,bleA5,-54,bleA6,-65,A,940.62,-177.144,-263.337,G,-4200,-4690,-3360,M,-289.5,603,-99,
26:02.2,bleT2,-,-,-,0,3,bleA6,-61,bleA2,-73,bleA5,-60,,,,,A,943.975,-173.423,-272.182,G,-2310,-420,-910,M,-288,606,-99,
26:02.3,bleT2,-,-,-,0,5,bleA2,-69,bleA4,-53,bleA6,-65,bleA5,-54,bleA3,-70,A,935.801,-173.728,-268.034,G,-980,840,1960,M,-274.5,603,-111,
26:02.4,bleT2,-,-,-,0,4,bleA4,-57,bleA6,-61,bleA3,-77,bleA5,-60,,,A,928.42,-168.482,-265.655,G,350,2030,2170,M,-283.5,603,-105,
26:02.5,bleT2,-,-,-,0,5,bleA5,-53,bleA6,-65,bleA3,-70,bleA2,-70,bleA4,-54,A,919.27,-178.791,-267.485,G,70,-1330,560,M,-285,603,-96,
26:02.6,bleT2,-,-,-,0,5,bleA4,-56,bleA3,-77,bleA2,-73,bleA5,-60,bleA6,-57,A,927.078,-177.693,-277.184,G,280,-3290,0,M,-291,597,-103.5,
26:02.7,bleT2,-,-,-,0,5,bleA3,-71,bleA2,-70,bleA4,-54,bleA5,-54,bleA6,-65,A,930.738,-184.952,-258.03,G,-1820,-5250,-490,M,-285,600,-97.5,
26:02.8,bleT2,-,-,-,0,5,bleA4,-54,bleA5,-60,bleA6,-63,bleA3,-78,bleA2,-75,A,906.704,-183.732,-270.535,G,-2660,-2380,-2030,M,-285,600,-94.5,
26:02.9,bleT2,-,-,-,0,5,bleA5,-53,bleA3,-72,bleA2,-73,bleA4,-54,bleA6,-64,A,917.684,-187.392,-299.51,G,-4340,-7280,-980,M,-292.5,601.5,-94.5,
26:03.0,bleT2,-,-,-,0,2,bleA2,-77,bleA5,-60,,,,,,,A,924.272,-180.072,-287.005,G,-4760,-1330,280,M,-294,612,-87,
26:03.1,bleT2,-,-,-,0,5,bleA2,-75,bleA4,-55,bleA5,-54,bleA6,-64,bleA3,-73,A,910.608,-187.88,-295.911,G,-3780,700,2660,M,-294,604.5,-102,
26:03.2,bleT2,-,-,-,0,5,bleA3,-78,bleA2,-83,bleA4,-50,bleA5,-60,bleA6,-57,A,905.972,-184.769,-289.75,G,-1750,1260,1470,M,-292.5,606,-112.5,
26:03.3,bleT2,-,-,-,0,4,bleA3,-75,bleA2,-67,bleA4,-56,bleA6,-65,,,A,910.974,-185.623,-283.406,G,-1750,-980,1470,M,-288,610.5,-96,
26:03.4,bleT2,-,-,-,0,2,bleA4,-50,bleA6,-58,,,,,,,A,906.887,-184.037,-283.406,G,-2520,-1190,1260,M,-288,603,-102,
26:03.5,bleT2,-,-,-,0,5,bleA2,-75,bleA4,-56,bleA6,-65,bleA5,-54,bleA3,-76,A,904.752,-183.366,-289.628,G,-2100,1820,-210,M,-292.5,598.5,-103.5,
26:03.6,bleT2,-,-,-,0,4,bleA4,-49,bleA6,-72,bleA3,-78,bleA2,-85,,,A,912.316,-184.708,-281.82,G,-3080,1400,-1540,M,-292.5,603,-109.5,
26:03.8,bleT2,-,-,-,0,2,bleA4,-56,bleA6,-64,,,,,,,A,920.673,-182.939,-293.654,G,-4480,-840,-2380,M,-297,604.5,-111,
26:03.9,bleT2,-,-,-,0,5,bleA4,-49,bleA5,-59,bleA6,-72,bleA3,-79,bleA2,-84,A,924.028,-186.111,-292.19,G,-3500,1330,-1050,M,-292.5,603,-100.5,
26:04.0,bleT2,-,-,-,0,5,bleA3,-78,bleA2,-68,bleA4,-55,bleA5,-55,bleA6,-65,A,915.793,-187.514,-293.227,G,-3430,1190,140,M,-298.5,603,-115.5,
26:04.1,bleT2,-,-,-,0,4,bleA4,-48,bleA6,-70,bleA3,-78,bleA2,-87,,,A,906.887,-188.917,-291.458,G,-3080,490,560,M,-288,597,-117,
26:04.2,bleT2,-,-,-,0,5,bleA2,-75,bleA5,-54,bleA6,-66,bleA4,-55,bleA3,-78,A,905.606,-198.25,-298.351,G,-3500,-2730,1400,M,-307.5,598.5,-109.5,
26:04.3,bleT2,-,-,-,0,5,bleA4,-49,bleA6,-65,bleA5,-58,bleA3,-79,bleA2,-86,A,910.852,-196.115,-290.055,G,-3570,-1960,3430,M,-310.5,594,-108,
26:04.4,bleT2,-,-,-,0,2,bleA2,-71,bleA5,-54,,,,,,,A,904.813,-195.2,-290.604,G,-4830,-350,3990,M,-294,604.5,-105,
26:04.5,bleT2,-,-,-,0,4,bleA4,-52,bleA6,-61,bleA3,-81,bleA2,-81,,,A,900.726,-213.439,-299.266,G,-4480,1120,4760,M,-313.5,598.5,-112.5,
26:04.6,bleT2,-,-,-,0,5,bleA3,-71,bleA2,-83,bleA4,-53,bleA5,-58,bleA6,-71,A,881.023,-249.612,-337.269,G,9800,350,1960,M,-309,592.5,-108,
26:04.7,bleT2,-,-,-,0,5,bleA3,-72,bleA2,-71,bleA5,-61,bleA4,-63,bleA6,-59,A,872.849,-243.573,-343.674,G,22680,2660,-560,M,-319.5,607.5,-117,
26:04.8,bleT2,-,-,-,0,2,bleA6,-69,bleA4,-61,,,,,,,A,888.343,-191.723,-310.795,G,45220,-8610,-12180,M,-312,600,-96,
26:04.9,bleT2,-,-,-,0,2,bleA4,-60,bleA6,-73,,,,,,,A,928.054,-208.254,-325.862,G,62790,-28420,-28770,M,-304.5,607.5,-73.5,
26:05.0,bleT2,-,-,-,0,5,bleA2,-72,bleA4,-73,bleA5,-55,bleA6,-60,bleA3,-74,A,923.357,-139.812,-364.17,G,87360,-21910,-37170,M,-270,603,-60,
26:05.1,bleT2,-,-,-,0,4,bleA4,-61,bleA6,-57,bleA3,-67,bleA2,-70,,,A,907.497,-70.577,-328.729,G,112910,-11690,-35280,M,-247.5,592.5,-25.5,
26:05.2,bleT2,-,-,-,0,4,bleA4,-63,bleA5,-55,bleA6,-55,bleA3,-79,,,A,956.968,-74.786,-350.323,G,123690,-33040,-51590,M,-225,588,16.5,
26:05.3,bleT2,-,-,-,0,5,bleA4,-61,bleA6,-57,bleA5,-54,bleA3,-63,bleA2,-64,A,888.953,-17.324,-384.3,G,122570,-41440,-53130,M,-222,555,66,
26:05.4,bleT2,-,-,-,0,3,bleA2,-71,bleA4,-63,bleA6,-58,,,,,A,792.207,-20.862,-345.992,G,115220,-16870,-39830,M,-222,544.5,123,
26:05.5,bleT2,-,-,-,0,5,bleA3,-68,bleA4,-61,bleA5,-65,bleA6,-54,bleA2,-68,A,978.379,-170.983,-297.802,G,91910,-57050,-41720,M,-238.5,532.5,160.5,
26:05.6,bleT2,-,-,-,0,5,bleA2,-63,bleA4,-63,bleA5,-55,bleA6,-52,bleA3,-72,A,981.612,-131.211,-440.725,G,54040,-84980,-54600,M,-234,469.5,220.5,
26:05.7,bleT2,-,-,-,0,5,bleA4,-58,bleA6,-56,bleA3,-80,bleA2,-66,bleA5,-53,A,954.894,-142.496,-387.472,G,52220,-33250,-29610,M,-228,451.5,240,
26:05.9,bleT2,-,-,-,0,4,bleA2,-65,bleA6,-52,bleA4,-72,bleA5,-59,,,A,934.764,-207.278,-349.042,G,45150,-4550,-27090,M,-250.5,435,255,
26:06.0,bleT2,-,-,-,0,5,bleA3,-80,bleA2,-60,bleA4,-58,bleA6,-65,bleA5,-49,A,956.602,-131.882,-294.386,G,28910,2520,-9310,M,-273,432,262.5,
26:06.1,bleT2,-,-,-,0,5,bleA5,-59,bleA3,-73,bleA2,-75,bleA4,-66,bleA6,-51,A,942.023,-168.116,-278.77,G,2940,20790,-280,M,-274.5,438,259.5,
26:06.2,bleT2,-,-,-,0,5,bleA4,-61,bleA3,-77,bleA2,-63,bleA6,-57,bleA5,-52,A,909.632,-165.554,-237.656,G,-23800,13930,4340,M,-283.5,448.5,255,
26:06.3,bleT2,-,-,-,0,5,bleA5,-53,bleA3,-75,bleA2,-71,bleA4,-61,bleA6,-50,A,922.93,-196.847,-301.767,G,-42490,22190,12250,M,-252,472.5,237,
26:06.4,bleT2,-,-,-,0,5,bleA3,-65,bleA4,-66,bleA6,-58,bleA5,-56,bleA2,-70,A,1028.704,-244.854,-309.087,G,-49140,35280,20090,M,-235.5,480,219,
26:06.5,bleT2,-,-,-,0,5,bleA2,-71,bleA4,-59,bleA5,-54,bleA6,-57,bleA3,-71,A,1089.582,-112.789,-434.991,G,-55370,490,12180,M,-219,502.5,192,
26:06.6,bleT2,-,-,-,0,5,bleA6,-58,bleA4,-54,bleA3,-70,bleA2,-69,bleA5,-63,A,885.049,27.572,-505.995,G,-36610,32060,33880,M,-207,501,178.5,
26:06.7,bleT2,-,-,-,0,5,bleA5,-60,bleA3,-73,bleA2,-70,bleA4,-69,bleA6,-61,A,869.067,-31.781,-246.684,G,-31640,1470,31080,M,-229.5,537,150,
26:06.8,bleT2,-,-,-,0,5,bleA3,-76,bleA2,-67,bleA4,-65,bleA5,-60,bleA6,-60,A,834.419,-176.351,-238.693,G,-3150,13930,1820,M,-226.5,549,144,
26:06.9,bleT2,-,-,-,0,5,bleA5,-75,bleA3,-66,bleA2,-68,bleA4,-60,bleA6,-59,A,869.677,-167.14,-268.217,G,7910,-10290,-1750,M,-223.5,546,141,
26:07.0,bleT2,-,-,-,0,5,bleA4,-78,bleA6,-54,bleA3,-65,bleA2,-87,bleA5,-57,A,962.702,-186.05,-283.955,G,34160,-13720,-4690,M,-235.5,547.5,157.5,
26:07.1,bleT2,-,-,-,0,5,bleA2,-70,bleA4,-57,bleA6,-58,bleA5,-71,bleA3,-72,A,984.296,-268.217,-270.962,G,49420,-19880,-14350,M,-250.5,537,177,
26:07.2,bleT2,-,-,-,0,3,bleA4,-67,bleA6,-53,bleA3,-84,,,,,A,976.976,-222.833,-345.504,G,56700,-43890,-5460,M,-247.5,523.5,192,
26:07.2,bleT2,-,-,-,0,2,bleA5,-56,bleA2,-73,,,,,,,A,864.614,-109.007,-591.822,G,63770,-13860,-17640,M,-282,514.5,207,
26:07.3,bleT2,-,-,-,0,4,bleA5,-55,bleA3,-75,bleA2,-64,bleA4,-60,,,A,829.661,-164.334,-429.196,G,48580,-5180,-20650,M,-303,516,219,
26:07.4,bleT2,-,-,-,0,5,bleA3,-67,bleA4,-65,bleA5,-55,bleA6,-54,bleA2,-74,A,879.376,-181.231,-267.973,G,29610,-12530,-23030,M,-312,516,219,
26:07.5,bleT2,-,-,-,0,4,bleA2,-68,bleA4,-63,bleA5,-55,bleA3,-77,,,A,868.945,-128.954,-231.312,G,6020,-1260,-7490,M,-300,523.5,211.5,
26:07.6,bleT2,-,-,-,0,5,bleA3,-77,bleA2,-67,bleA4,-64,bleA5,-56,bleA6,-61,A,955.992,-199.958,-285.846,G,-21700,-8260,-1890,M,-298.5,517.5,229.5,
26:07.7,bleT2,-,-,-,0,5,bleA3,-70,bleA2,-59,bleA4,-67,bleA5,-55,bleA6,-58,A,827.77,-181.414,-295.179,G,-31220,8680,13720,M,-286.5,510,222,
26:07.8,bleT2,-,-,-,0,4,bleA4,-54,bleA6,-53,bleA2,-64,bleA5,-55,,,A,894.931,-270.718,-153.964,G,-22400,20160,9520,M,-276,534,207,
26:08.0,bleT2,-,-,-,0,4,bleA5,-56,bleA2,-61,bleA4,-58,bleA6,-59,,,A,985.455,-224.724,-398.513,G,-34160,40600,9170,M,-262.5,535.5,178.5,
26:08.1,bleT2,-,-,-,0,5,bleA4,-58,bleA3,-73,bleA2,-62,bleA5,-56,bleA6,-61,A,879.742,-153.171,-204.655,G,-24920,11200,6230,M,-259.5,564,169.5,
26:08.2,bleT2,-,-,-,0,5,bleA5,-55,bleA3,-73,bleA2,-66,bleA4,-59,bleA6,-50,A,896.578,-79.544,-272.304,G,-25620,8680,4620,M,-256.5,558,154.5,
26:08.3,bleT2,-,-,-,0,5,bleA3,-73,bleA2,-66,bleA4,-61,bleA5,-57,bleA6,-48,A,951.966,-86.925,-211.487,G,-18760,-2590,-15400,M,-252,550.5,151.5,
26:08.4,bleT2,-,-,-,0,4,bleA5,-65,bleA3,-79,bleA2,-70,bleA4,-60,,,A,925.675,-20.313,-202.215,G,-13580,5600,-25760,M,-219,559.5,141,
26:08.5,bleT2,-,-,-,0,5,bleA4,-74,bleA6,-56,bleA3,-73,bleA2,-67,bleA5,-58,A,994.971,-8.418,-254.736,G,23940,3850,-2940,M,-201,558,150,
26:08.6,bleT2,-,-,-,0,3,bleA2,-64,bleA5,-59,bleA3,-65,,,,,A,916.647,-152.195,-294.569,G,17150,-3570,-20790,M,-216,549,168,
26:08.7,bleT2,-,-,-,0,5,bleA4,-59,bleA5,-56,bleA6,-53,bleA3,-70,bleA2,-74,A,946.903,3.538,-141.52,G,19530,25760,-560,M,-208.5,559.5,157.5,
26:08.8,bleT2,-,-,-,0,5,bleA3,-64,bleA5,-55,bleA2,-65,bleA4,-59,bleA6,-56,A,968.985,-113.948,-256.444,G,13370,-6930,-9100,M,-232.5,546,171,
26:08.9,bleT2,-,-,-,0,5,bleA4,-56,bleA5,-55,bleA6,-53,bleA3,-68,bleA2,-72,A,973.072,-79.117,-241.987,G,10430,-4620,-4550,M,-222,546,171,
26:09.0,bleT2,-,-,-,0,4,bleA2,-74,bleA4,-57,bleA5,-54,bleA6,-55,,,A,956.297,-82.533,-206.973,G,1400,-3920,4970,M,-235.5,556.5,178.5,
26:09.1,bleT2,-,-,-,0,3,bleA6,-55,bleA2,-72,bleA5,-55,,,,,A,944.219,-116.327,-237.29,G,-5320,-2590,-1400,M,-223.5,552,172.5,
26:09.2,bleT2,-,-,-,0,4,bleA6,-56,bleA5,-54,bleA3,-69,bleA2,-67,,,A,933.91,-94.733,-232.837,G,-5950,-3850,1680,M,-214.5,540,175.5,
26:09.3,bleT2,-,-,-,0,5,bleA4,-57,bleA6,-55,bleA3,-67,bleA2,-72,bleA5,-56,A,939.705,-110.776,-266.082,G,-8120,-490,3430,M,-232.5,544.5,171,
26:09.4,bleT2,-,-,-,0,5,bleA5,-55,bleA3,-73,bleA2,-68,bleA4,-56,bleA6,-58,A,944.402,-118.584,-236.314,G,-2520,-1820,1960,M,-232.5,549,172.5,
26:09.5,bleT2,-,-,-,0,5,bleA3,-69,bleA2,-73,bleA4,-59,bleA6,-54,bleA5,-56,A,941.413,-98.027,-287.92,G,-1050,-11340,2240,M,-225,543,171,
26:09.6,bleT2,-,-,-,0,4,bleA5,-56,bleA2,-67,bleA4,-58,bleA6,-60,,,A,939.888,-98.698,-262.239,G,-1470,1400,280,M,-223.5,543,177,
26:09.7,bleT2,-,-,-,0,4,bleA4,-60,bleA6,-56,bleA3,-71,bleA2,-71,,,A,918.965,-102.724,-269.498,G,-2030,2450,3010,M,-229.5,549,180,
26:09.8,bleT2,-,-,-,0,3,bleA2,-66,bleA5,-56,bleA6,-61,,,,,A,926.224,-127.795,-226.493,G,-1260,700,2170,M,-238.5,555,174,
26:09.9,bleT2,-,-,-,0,2,bleA5,-56,bleA2,-71,,,,,,,A,939.339,-85.217,-255.468,G,-1960,-2310,-2730,M,-232.5,544.5,181.5,
26:09.9,bleT2,-,-,-,0,3,bleA4,-61,bleA6,-56,bleA3,-72,,,,,A,944.768,-95.16,-241.011,G,560,-910,-3640,M,-258,544.5,186,
26:10.1,bleT2,-,-,-,0,5,bleA5,-57,bleA3,-82,bleA2,-66,bleA4,-58,bleA6,-61,A,948.794,-102.053,-239.669,G,-280,1120,-3430,M,-229.5,547.5,178.5,
26:10.2,bleT2,-,-,-,0,5,bleA4,-61,bleA6,-56,bleA3,-72,bleA2,-71,bleA5,-56,A,947.696,-103.212,-252.479,G,-840,560,910,M,-234,549,181.5,
26:10.3,bleT2,-,-,-,0,5,bleA2,-67,bleA4,-58,bleA6,-60,bleA5,-56,bleA3,-84,A,952.698,-104.31,-278.465,G,350,-7140,3780,M,-226.5,543,192,
26:10.4,bleT2,-,-,-,0,5,bleA3,-72,bleA2,-72,bleA4,-60,bleA6,-53,bleA5,-56,A,934.703,-104.066,-283.711,G,-1890,1890,-6300,M,-217.5,550.5,181.5,
26:10.5,bleT2,-,-,-,0,5,bleA5,-57,bleA3,-80,bleA2,-67,bleA4,-58,bleA6,-59,A,924.943,-103.151,-272.914,G,-1400,-7000,5740,M,-229.5,549,183,
26:10.6,bleT2,-,-,-,0,5,bleA4,-59,bleA6,-55,bleA5,-56,bleA3,-71,bleA2,-74,A,943.609,-112.85,-243.634,G,2310,2590,-9520,M,-220.5,541.5,195,
26:10.7,bleT2,-,-,-,0,4,bleA5,-56,bleA6,-58,bleA3,-77,bleA2,-67,,,A,932.995,-67.954,-273.341,G,-2940,2170,-1190,M,-216,547.5,189,
26:10.8,bleT2,-,-,-,0,5,bleA4,-58,bleA5,-56,bleA6,-54,bleA3,-71,bleA2,-77,A,943.914,-94.794,-241.377,G,-6090,-2380,-140,M,-220.5,537,184.5,
26:10.9,bleT2,-,-,-,0,3,bleA4,-58,bleA5,-57,bleA6,-57,,,,,A,947.147,-91.5,-245.464,G,-3360,-3570,3010,M,-208.5,543,178.5,
26:11.0,bleT2,-,-,-,0,5,bleA4,-57,bleA3,-71,bleA2,-77,bleA5,-56,bleA6,-53,A,924.089,-97.6,-297.314,G,-3990,-4690,3290,M,-225,549,193.5,
26:11.1,bleT2,-,-,-,0,5,bleA2,-73,bleA4,-57,bleA5,-59,bleA6,-57,bleA3,-65,A,930.555,-100.406,-250.222,G,-210,-420,-1820,M,-216,544.5,183,
26:11.2,bleT2,-,-,-,0,5,bleA4,-57,bleA6,-53,bleA3,-71,bleA2,-72,bleA5,-56,A,932.873,-57.34,-289.689,G,-6230,-1050,-3430,M,-208.5,546,186,
26:11.3,bleT2,-,-,-,0,5,bleA5,-55,bleA3,-77,bleA2,-65,bleA4,-58,bleA6,-56,A,949.526,-102.297,-284.321,G,-1260,1610,-2030,M,-216,541.5,184.5,
26:11.4,bleT2,-,-,-,0,1,bleA6,-55,,,,,,,,,A,940.62,-80.459,-267.546,G,1190,1260,3010,M,-220.5,546,195,
26:11.5,bleT2,-,-,-,0,5,bleA2,-63,bleA4,-59,bleA6,-57,bleA5,-53,bleA3,-78,A,918.05,-101.077,-255.712,G,-560,1470,3290,M,-214.5,546,177,
26:11.6,bleT2,-,-,-,0,3,bleA5,-57,bleA6,-56,bleA2,-70,,,,,A,932.629,-112.728,-270.718,G,1120,-4200,2590,M,-207,541.5,175.5,
26:11.7,bleT2,-,-,-,0,5,bleA3,-65,bleA2,-69,bleA4,-59,bleA6,-60,bleA5,-54,A,939.705,-111.325,-270.474,G,5460,490,-1680,M,-231,537,183,
26:11.8,bleT2,-,-,-,0,5,bleA3,-70,bleA4,-58,bleA6,-56,bleA5,-57,bleA2,-70,A,927.871,-93.94,-253.272,G,5040,840,140,M,-241.5,537,183,
26:11.9,bleT2,-,-,-,0,5,bleA2,-69,bleA4,-60,bleA5,-59,bleA6,-65,bleA3,-65,A,936.899,-107.787,-253.577,G,350,-1470,0,M,-229.5,538.5,163.5,
