timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
25:07.9,bleT2,-,-,-,0,5,bleA5,-67,bleA6,-74,bleA3,-56,bleA2,-61,bleA4,-82,A,913.963,-66.795,-462.136,G,23100,-15540,5880,M,-219,574.5,-64.5,
25:08.0,bleT2,-,-,-,0,5,bleA4,-74,bleA6,-64,bleA3,-58,bleA2,-54,bleA5,-65,A,960.445,-76.799,-645.197,G,21910,-54180,-11900,M,-219,574.5,-48,
25:08.1,bleT2,-,-,-,0,5,bleA4,-71,bleA5,-66,bleA6,-73,bleA3,-52,bleA2,-55,A,807.091,-112.179,-302.499,G,10220,36330,-17850,M,-192,565.5,-66,
25:08.2,bleT2,-,-,-,0,3,bleA4,-78,bleA6,-63,bleA3,-52,,,,,A,790.072,-193.675,-490.196,G,20020,-50190,3850,M,-201,571.5,-46.5,
25:08.2,bleT2,-,-,-,0,2,bleA5,-66,bleA2,-57,,,,,,,A,844.728,-157.624,-270.779,G,-2730,9450,-8680,M,-198,562.5,-45,
25:08.3,bleT2,-,-,-,0,5,bleA3,-53,bleA2,-67,bleA4,-71,bleA6,-74,bleA5,-75,A,771.955,-184.098,-325.496,G,910,3710,-9310,M,-189,564,-45,
25:08.4,bleT2,-,-,-,0,5,bleA3,-53,bleA4,-67,bleA5,-66,bleA6,-66,bleA2,-58,A,891.088,-111.63,-421.876,G,-9520,15190,-5040,M,-181.5,558,-45,
25:08.5,bleT2,-,-,-,0,4,bleA5,-67,bleA3,-56,bleA2,-56,bleA4,-79,,,A,1014.369,-125.477,-243.695,G,-18970,19740,5460,M,-186,570,-63,
25:08.6,bleT2,-,-,-,0,5,bleA3,-49,bleA2,-70,bleA4,-67,bleA5,-59,bleA6,-71,A,1022.421,-25.742,-551.623,G,-34860,-23100,11060,M,-190.5,571.5,-70.5,
25:08.7,bleT2,-,-,-,0,1,bleA3,-57,,,,,,,,,A,824.903,114.07,-510.204,G,-33880,14490,21630,M,-204,568.5,-75,
25:08.8,bleT2,-,-,-,0,5,bleA3,-63,bleA4,-74,bleA6,-72,bleA5,-62,bleA2,-75,A,847.412,133.468,-387.289,G,-33110,12320,30170,M,-235.5,577.5,-105,
25:08.9,bleT2,-,-,-,0,5,bleA5,-65,bleA3,-55,bleA2,-65,bleA4,-71,bleA6,-73,A,754.265,-4.331,-320.25,G,-33670,4620,5460,M,-244.5,589.5,-106.5,
25:09.1,bleT2,-,-,-,0,4,bleA3,-48,bleA2,-66,bleA5,-73,bleA6,-68,,,A,868.457,-63.501,-413.702,G,-7070,-27720,-2940,M,-240,579,-102,
25:09.2,bleT2,-,-,-,0,5,bleA5,-66,bleA3,-51,bleA2,-56,bleA4,-71,bleA6,-71,A,931.287,-63.135,-524.051,G,20300,-24850,-3080,M,-247.5,576,-85.5,
25:09.3,bleT2,-,-,-,0,4,bleA4,-72,bleA5,-63,bleA6,-78,bleA2,-60,,,A,912.133,-16.409,-539.179,G,29610,25270,-26460,M,-231,582,-78,
25:09.4,bleT2,-,-,-,0,5,bleA4,-66,bleA5,-65,bleA6,-71,bleA3,-53,bleA2,-61,A,829.6,57.218,-225.09,G,37730,69230,-47040,M,-225,562.5,-112.5,
25:09.5,bleT2,-,-,-,0,5,bleA3,-50,bleA2,-60,bleA4,-76,bleA5,-68,bleA6,-71,A,779.641,-3.111,-409.981,G,42700,48510,5040,M,-201,555,-132,
25:09.6,bleT2,-,-,-,0,4,bleA4,-71,bleA6,-74,bleA5,-65,bleA3,-57,,,A,981.368,-89.487,-125.172,G,24150,-4970,7070,M,-190.5,562.5,-156,
25:09.7,bleT2,-,-,-,0,5,bleA4,-73,bleA6,-73,bleA3,-51,bleA2,-63,bleA5,-67,A,963.068,-56.181,-221.613,G,2310,-39130,-5670,M,-178.5,558,-157.5,
25:09.8,bleT2,-,-,-,0,5,bleA3,-52,bleA2,-60,bleA4,-67,bleA5,-64,bleA6,-71,A,1019.737,-36.356,-224.846,G,-23660,-9240,3640,M,-183,565.5,-129,
25:09.9,bleT2,-,-,-,0,4,bleA3,-46,bleA2,-62,bleA4,-64,bleA6,-68,,,A,948.306,138.226,-304.878,G,-36960,-18130,24850,M,-190.5,570,-145.5,
25:10.0,bleT2,-,-,-,0,5,bleA5,-61,bleA3,-66,bleA2,-64,bleA6,-71,bleA4,-63,A,951.661,97.112,-249.185,G,-53130,-19390,13860,M,-204,585,-139.5,
25:10.1,bleT2,-,-,-,0,5,bleA4,-71,bleA6,-77,bleA3,-48,bleA2,-71,bleA5,-67,A,834.785,113.521,-267.79,G,-52990,-22190,10220,M,-214.5,582,-121.5,
25:10.2,bleT2,-,-,-,0,5,bleA5,-64,bleA6,-72,bleA3,-61,bleA2,-70,bleA4,-63,A,938.241,1.708,-490.684,G,-30380,-24150,16590,M,-231,582,-130.5,
25:10.3,bleT2,-,-,-,0,4,bleA3,-51,bleA4,-65,bleA5,-66,bleA6,-82,,,A,889.685,-19.337,-398.879,G,3500,-15470,6160,M,-250.5,576,-120,
25:10.4,bleT2,-,-,-,0,4,bleA5,-61,bleA3,-57,bleA2,-68,bleA4,-71,,,A,921.1,-9.821,-392.535,G,28280,-5040,-560,M,-250.5,576,-108,
25:10.5,bleT2,-,-,-,0,4,bleA3,-49,bleA4,-61,bleA6,-76,bleA5,-66,,,A,975.146,11.224,-551.44,G,46200,-33460,-15330,M,-252,586.5,-93,
25:10.6,bleT2,-,-,-,0,5,bleA5,-58,bleA3,-59,bleA2,-60,bleA4,-62,bleA6,-64,A,795.074,-23.119,-409.554,G,16520,37660,-38080,M,-228,577.5,-94.5,
25:10.7,bleT2,-,-,-,0,5,bleA3,-50,bleA2,-57,bleA4,-64,bleA5,-76,bleA6,-68,A,854.671,-89.609,-519.659,G,14070,-10290,1820,M,-217.5,556.5,-72,
25:10.8,bleT2,-,-,-,0,5,bleA5,-58,bleA3,-63,bleA2,-61,bleA4,-66,bleA6,-64,A,772.016,-109.312,-489.708,G,-6020,6160,7770,M,-225,558,-63,
25:10.9,bleT2,-,-,-,0,5,bleA4,-65,bleA5,-72,bleA6,-68,bleA3,-54,bleA2,-60,A,825.757,-43.798,-485.011,G,-8960,17080,-3640,M,-249,567,-72,
25:11.0,bleT2,-,-,-,0,4,bleA2,-61,bleA4,-66,bleA5,-58,bleA6,-64,,,A,870.714,-159.027,-467.26,G,-4620,-4200,9520,M,-253.5,570,-84,
25:11.2,bleT2,-,-,-,0,5,bleA3,-53,bleA2,-60,bleA4,-65,bleA6,-70,bleA5,-78,A,839.421,-93.513,-506.605,G,-770,-4690,9660,M,-259.5,577.5,-84,
25:11.3,bleT2,-,-,-,0,5,bleA5,-57,bleA3,-65,bleA2,-57,bleA4,-66,bleA6,-64,A,838.933,-48.19,-481.046,G,6300,7420,140,M,-256.5,567,-91.5,
25:11.4,bleT2,-,-,-,0,5,bleA3,-51,bleA4,-62,bleA5,-75,bleA6,-70,bleA2,-59,A,870.287,-97.295,-376.98,G,3570,3360,-9450,M,-249,573,-90,
25:11.5,bleT2,-,-,-,0,5,bleA5,-57,bleA6,-66,bleA2,-55,bleA3,-62,bleA4,-69,A,888.831,-84.424,-425.231,G,1540,210,-8540,M,-237,565.5,-99,
25:11.6,bleT2,-,-,-,0,4,bleA4,-68,bleA5,-72,bleA6,-69,bleA2,-58,,,A,882.182,-72.285,-396.805,G,1330,2870,-3360,M,-237,565.5,-93,
25:11.7,bleT2,-,-,-,0,4,bleA3,-61,bleA2,-55,bleA4,-70,bleA5,-59,,,A,901.702,-65.453,-388.326,G,-1470,1680,-2520,M,-256.5,568.5,-102,
25:11.8,bleT2,-,-,-,0,1,bleA4,-70,,,,,,,,,A,889.441,-59.597,-374.723,G,-2800,4200,-420,M,-237,573,-99,
25:11.9,bleT2,-,-,-,0,4,bleA3,-61,bleA2,-55,bleA4,-71,bleA6,-66,,,A,898.957,-80.642,-403.454,G,-4480,-280,-1400,M,-240,573,-100.5,
25:12.0,bleT2,-,-,-,0,5,bleA3,-49,bleA2,-57,bleA4,-63,bleA6,-70,bleA5,-71,A,902.129,-74.908,-408.822,G,-1960,1120,2170,M,-244.5,574.5,-108,
25:12.1,bleT2,-,-,-,0,5,bleA5,-57,bleA3,-62,bleA2,-55,bleA4,-70,bleA6,-66,A,886.025,-78.446,-386.374,G,420,3640,1820,M,-246,576,-97.5,
25:12.2,bleT2,-,-,-,0,4,bleA3,-49,bleA2,-58,bleA4,-68,bleA5,-71,,,A,893.04,-90.524,-409.737,G,490,-5600,-1120,M,-223.5,561,-102,
25:12.3,bleT2,-,-,-,0,5,bleA5,-57,bleA3,-61,bleA2,-55,bleA4,-70,bleA6,-66,A,900.665,-81.74,-393.267,G,-210,-70,-840,M,-246,568.5,-112.5,
25:12.4,bleT2,-,-,-,0,5,bleA4,-68,bleA6,-70,bleA3,-49,bleA2,-57,bleA5,-71,A,904.142,-72.163,-404.613,G,-210,-1610,350,M,-246,574.5,-93,
25:12.5,bleT2,-,-,-,0,2,bleA2,-55,bleA5,-57,,,,,,,A,894.565,-84.241,-389.668,G,-1120,1960,420,M,-241.5,574.5,-109.5,
25:12.6,bleT2,-,-,-,0,5,bleA3,-49,bleA2,-58,bleA4,-63,bleA5,-71,bleA6,-71,A,898.713,-81.191,-403.759,G,-1400,-1330,280,M,-234,579,-109.5,
25:12.7,bleT2,-,-,-,0,4,bleA3,-62,bleA2,-56,bleA4,-69,bleA5,-57,,,A,893.406,-83.57,-389.058,G,-1470,140,490,M,-256.5,573,-102,
25:12.8,bleT2,-,-,-,0,5,bleA3,-50,bleA2,-58,bleA6,-71,bleA5,-71,bleA4,-66,A,897.676,-88.511,-396.134,G,-2730,-1050,210,M,-249,571.5,-102,
25:12.9,bleT2,-,-,-,0,2,bleA5,-56,bleA3,-51,,,,,,,A,902.617,-84.912,-379.481,G,-3850,-420,140,M,-253.5,573,-97.5,
25:13.0,bleT2,-,-,-,0,5,bleA6,-72,bleA2,-58,bleA3,-50,bleA4,-66,bleA5,-72,A,902.495,-89.67,-400.831,G,-3430,-840,1330,M,-241.5,564,-115.5,
25:13.1,bleT2,-,-,-,0,5,bleA4,-68,bleA5,-56,bleA6,-65,bleA3,-63,bleA2,-57,A,889.685,-91.073,-395.097,G,-2240,2100,1750,M,-244.5,568.5,-106.5,
25:13.2,bleT2,-,-,-,0,5,bleA4,-66,bleA6,-73,bleA3,-51,bleA2,-59,bleA5,-73,A,886.33,-91.683,-393.389,G,-980,-1470,1680,M,-246,576,-103.5,
25:13.4,bleT2,-,-,-,0,5,bleA3,-52,bleA2,-56,bleA4,-67,bleA6,-64,bleA5,-56,A,894.992,-87.901,-384.422,G,-1050,-1260,-210,M,-243,571.5,-114,
25:13.5,bleT2,-,-,-,0,5,bleA4,-65,bleA6,-73,bleA3,-52,bleA2,-59,bleA5,-74,A,898.286,-81.191,-391.925,G,-1120,-3570,0,M,-249,571.5,-106.5,
25:13.6,bleT2,-,-,-,0,1,bleA5,-58,,,,,,,,,A,896.883,-83.265,-395.829,G,-1120,-910,1330,M,-256.5,579,-111,
25:13.6,bleT2,-,-,-,0,4,bleA3,-61,bleA2,-58,bleA4,-67,bleA6,-64,,,A,887.184,-98.942,-412.848,G,-560,-560,1190,M,-244.5,564,-102,
